datapath_id,dst_ip_count,src_ip_count,byte_count,packet_count,flow_count
1,54,4,1321,17,11
3,46,4,969,13,10
2,97,6,1676,22,17
1,66,4,301710,5570,12
3,59,4,2966,37,11
2,97,6,302948,5590,17
1,66,4,9206883,170451,12
3,59,4,7410,65,11
2,97,6,9211507,170490,17
1,66,4,21692981,401608,12
3,59,4,18759,150,11
2,97,6,21705343,401702,17
1,66,4,26014951,481643,12
3,59,4,19109,155,11
2,97,6,26027545,481741,17
3,59,4,24460,195,11
1,66,4,32240964,596910,12
2,97,6,32257570,597038,17
3,59,4,29918,236,11
1,66,4,43258559,800910,12
2,97,6,43279123,801067,17
1,66,4,54549392,1009968,12
2,97,6,54573806,1010152,17
3,59,4,35376,277,11
1,66,4,65650309,1215511,12
3,59,4,40727,317,11
2,97,6,65678897,1215728,17
3,59,4,46078,357,11
1,66,4,74579346,1380834,12
2,97,6,74612054,1381083,17
1,66,4,85480247,1582673,12
3,59,4,51429,397,11
2,97,6,85516967,1582952,17
2,97,6,96937898,1794376,17
3,59,4,57060,441,11
1,66,4,96897506,1794073,12
1,66,4,107514399,1990652,12
3,59,4,62551,483,11
2,97,6,107559143,1990991,17
1,66,4,118557244,2195119,12
2,97,6,118605838,2195485,17
3,59,4,68042,525,11
3,59,4,73500,566,11
1,66,4,129341991,2394807,12
2,97,6,129394705,2395205,17
1,66,4,140593890,2603144,12
2,97,6,140650454,2603569,17
3,59,4,78958,607,11
1,66,4,151172465,2799014,12
2,97,6,151233095,2799470,17
3,59,4,84309,647,11
1,66,4,162568492,3010022,12
2,97,6,162633242,3010510,17
3,59,4,89660,687,11
1,66,4,173794905,3217889,12
2,97,6,173863775,3218409,17
3,59,4,95011,727,11
1,66,4,184925738,3423986,12
3,59,4,100362,767,11
2,97,6,184998296,3424530,17
1,66,4,195589417,3621432,12
3,59,4,105713,807,11
2,97,6,195666257,3622011,17
1,66,4,205837566,3811183,12
2,97,6,205918256,3811789,17
3,59,4,111064,847,11
1,66,4,216474893,4008141,12
3,59,4,116415,887,11
2,97,6,216559811,4008781,17
1,66,4,227755036,4217003,12
2,97,6,227843750,4217669,17
3,59,4,121766,927,11
1,66,4,238603233,4417866,12
3,59,4,127187,968,11
2,97,6,238695851,4418560,17
1,66,4,249011864,4610588,12
2,97,6,249108602,4611314,17
3,59,4,132748,1011,11
1,66,4,260183105,4817433,12
3,59,4,138099,1051,11
2,97,6,260283893,4818190,17
1,66,4,270209708,5003081,12
2,97,6,270314578,5003869,17
3,59,4,143520,1092,11
1,66,4,281345779,5209275,12
2,97,6,281454607,5210092,17
3,59,4,148871,1132,11
1,66,4,292522728,5416226,12
3,59,4,154222,1172,11
2,97,6,292635622,5417074,17
1,66,4,304155521,5631616,12
2,97,6,304272481,5632495,17
3,59,4,159927,1216,11
1,66,4,314776162,5828265,12
3,59,4,165278,1256,11
2,97,6,314896828,5829169,17
3,59,4,166686,1267,11
1,66,4,325674541,6030057,12
2,97,6,325795405,6030964,17
1,66,4,335945424,6220229,12
2,97,6,336070300,6221166,17
3,59,4,172037,1307,11
1,66,4,346433094,6414431,12
3,59,4,177190,1344,11
2,97,6,346562036,6415399,17
1,66,4,357744744,6623906,12
2,97,6,357874772,6624880,17
3,59,4,179470,1358,11
1,66,4,369105966,6834299,12
3,59,4,179470,1358,11
2,97,6,369235940,6835272,17
1,66,4,380723796,7049444,12
3,59,4,179470,1358,11
2,97,6,380853824,7050418,17
1,66,4,392467932,7266928,12
2,97,6,392597960,7267902,17
3,59,4,179470,1358,11
1,66,4,403275786,7467073,12
3,59,4,179602,1360,11
2,97,6,403405706,7468045,17
1,66,4,414281364,7670880,12
3,59,4,179866,1364,11
2,97,6,414411578,7671857,17
3,59,4,179866,1364,11
1,66,4,425668182,7881747,12
2,97,6,425798288,7882722,17
1,66,4,436756650,8087089,12
2,97,6,436886756,8088064,17
3,59,4,179866,1364,11
1,66,4,449622138,8325339,12
3,59,4,179866,1364,11
2,97,6,449752310,8326315,17
1,66,4,460888428,8533974,12
2,97,6,461018330,8534945,17
3,59,4,179866,1364,11
1,66,4,472084518,8741309,12
2,97,6,472214582,8742283,17
3,59,4,179866,1364,11
1,66,4,482921346,8941991,12
3,59,4,179866,1364,11
2,97,6,483051518,8942967,17
1,66,4,493828698,9143979,12
3,59,4,179866,1364,11
2,97,6,493958762,9144953,17
1,66,4,506098578,9371199,12
2,97,6,506228804,9372176,17
3,59,4,179866,1364,11
1,66,4,517035900,9573742,12
2,97,6,517165910,9574715,17
3,59,4,179866,1364,11
3,59,4,179866,1364,11
1,66,4,527912310,9775157,12
2,97,6,528042320,9776130,17
3,59,4,179866,1364,11
1,66,4,539299020,9986022,12
2,97,6,539429300,9987000,17
1,66,4,550852552,10199976,12
3,59,4,180006,1366,11
2,97,6,550982562,10200949,17
1,66,4,561050290,10388823,12
3,59,4,180006,1366,11
2,97,6,561180354,10389797,17
2,97,6,569196616,10538246,17
3,59,4,180076,1367,11
1,66,4,569066552,10537272,12
1,66,4,578218418,10706751,12
3,59,4,180076,1367,11
2,97,6,578348482,10707725,17
1,66,4,588569710,10898441,12
2,97,6,588699936,10899418,17
3,59,4,180146,1368,11
1,66,4,599770768,11105868,12
2,97,6,599900886,11106843,17
3,59,4,180146,1368,11
1,66,4,610862816,11311276,12
3,59,4,180216,1369,11
2,97,6,610992934,11312251,17
1,66,4,621128756,11501386,12
3,59,4,180216,1369,11
2,97,6,621258928,11502362,17
1,66,4,632405198,11710209,12
3,59,4,180216,1369,11
2,97,6,632535370,11711185,17
1,66,4,642842534,11903493,12
3,59,4,180216,1369,11
2,97,6,642972490,11904465,17
1,66,4,653767704,12105809,12
2,97,6,653897930,12106786,17
3,59,4,180430,1371,11
1,66,4,664792954,12309980,12
3,59,4,180500,1372,11
2,97,6,664923072,12310955,17
1,66,4,675838222,12514522,12
3,59,4,180500,1372,11
2,97,6,675968340,12515497,17
1,66,4,686461874,12711256,12
2,97,6,686591992,12712231,17
3,59,4,180570,1373,11
1,66,4,697268246,12911374,12
3,59,4,180570,1373,11
2,97,6,697398310,12912348,17
1,66,4,708762486,13124230,12
2,97,6,708892658,13125206,17
3,59,4,180640,1374,11
1,66,4,719649318,13325838,12
3,59,4,180640,1374,11
2,97,6,719779220,13326809,17
1,66,4,730794216,13532225,12
3,59,4,180640,1374,11
2,97,6,730924442,13533202,17
1,66,4,741936630,13738566,12
3,59,4,180640,1374,11
2,97,6,742066748,13739541,17
1,66,4,753122136,13945705,12
3,59,4,180640,1374,11
2,97,6,753252308,13946681,17
1,66,4,764015286,14147430,12
3,59,4,180640,1374,11
2,97,6,764145404,14148405,17
1,66,4,774788448,14346933,12
3,59,4,180640,1374,11
2,97,6,774918404,14347905,17
1,66,4,786215118,14558538,12
3,59,4,180640,1374,11
2,97,6,786345290,14559514,17
3,59,4,180640,1374,11
1,66,4,796570320,14750301,12
2,97,6,796700438,14751276,17
1,66,4,810105474,15000952,12
3,59,4,180640,1374,11
2,97,6,810235526,15001926,17
3,59,4,180640,1374,11
1,66,4,821444394,15210932,12
2,97,6,821574500,15211907,17
1,66,4,832902546,15423120,12
3,59,4,180640,1374,11
2,97,6,833032598,15424094,17
1,66,4,844036860,15629311,12
2,97,6,844167020,15630287,17
3,59,4,180640,1374,11
1,66,4,855189048,15835833,12
2,97,6,855319208,15836809,17
3,59,4,180640,1374,11
1,66,4,866464788,16044643,12
2,97,6,866594786,16045616,17
3,59,4,180640,1374,11
3,59,4,180640,1374,11
1,66,4,877418850,16247496,12
2,97,6,877549118,16248474,17
1,66,4,888664836,16455755,12
3,59,4,180640,1374,11
2,97,6,888795050,16456732,17
1,66,4,899880150,16663446,12
3,59,4,180640,1374,11
2,97,6,900010364,16664423,17
1,66,4,910606872,16862089,12
3,59,4,180640,1374,11
2,97,6,910736978,16863064,17
1,66,4,918630882,17010682,12
3,59,4,180640,1374,11
2,97,6,918761000,17011657,17
1,66,4,930483720,17230179,12
3,59,4,180640,1374,11
2,97,6,930613838,17231154,17
1,66,4,941940846,17442348,12
2,97,6,942070910,17443322,17
3,59,4,180640,1374,11
1,66,4,953691084,17659945,12
3,59,4,180640,1374,11
2,97,6,953821094,17660918,17
1,66,4,964579644,17861585,12
2,97,6,964709708,17862559,17
3,59,4,180640,1374,11
1,66,4,976482594,18082010,12
3,59,4,180640,1374,11
2,97,6,976612820,18082987,17
1,66,4,987648606,18288788,12
3,59,4,180640,1374,11
2,97,6,987778778,18289764,17
1,66,4,998402652,18487937,12
2,97,6,998532770,18488912,17
3,59,4,180640,1374,11
3,59,4,180640,1374,11
1,66,4,1008912888,18682571,12
2,97,6,1009042898,18683544,17
1,66,4,1020006972,18888017,12
2,97,6,1020137090,18888992,17
3,59,4,180640,1374,11
1,66,4,1030746600,19086899,12
2,97,6,1030876718,19087874,17
3,59,4,180640,1374,11
1,66,4,1041667236,19289133,12
2,97,6,1041797300,19290107,17
3,59,4,180640,1374,11
1,66,4,1053027486,19499508,12
3,59,4,180640,1374,11
2,97,6,1053157604,19500483,17
1,66,4,1063856670,19700048,12
3,59,4,180970,1379,11
2,97,6,1063986920,19701025,17
1,66,4,1074888438,19904340,12
2,97,6,1075018526,19905314,17
3,59,4,181036,1380,11
1,66,4,1086546066,20120222,12
3,59,4,181036,1380,11
2,97,6,1086676370,20121200,17
1,66,4,1097375388,20320765,12
2,97,6,1097505692,20321743,17
3,59,4,181036,1380,11
1,66,4,1105937142,20479316,12
3,59,4,181036,1380,11
2,97,6,1106067284,20480291,17
1,66,4,1116313824,20671477,12
3,59,4,181246,1385,11
2,97,6,1116444182,20672456,17
1,66,4,1126990812,20869199,12
2,97,6,1127121008,20870175,17
3,59,4,181246,1385,11
1,66,4,1138481148,21081983,12
3,59,4,181246,1385,11
2,97,6,1138611344,21082959,17
1,66,4,1150215672,21299289,12
3,59,4,181246,1385,11
2,97,6,1150346030,21300268,17
1,66,4,1161600724,21510123,12
3,59,4,181386,1387,11
2,97,6,1161731082,21511102,17
1,66,4,1172855080,21718537,12
2,97,6,1172985384,21719515,17
3,59,4,181386,1387,11
1,66,4,1183593142,21917390,12
3,59,4,181386,1387,11
2,97,6,1183723338,21918366,17
1,66,4,1195382746,22135716,12
2,97,6,1195512996,22136693,17
3,59,4,181386,1387,11
1,66,4,1206968770,22350272,12
3,59,4,181386,1387,11
2,97,6,1207099020,22351249,17
1,66,4,1218024190,22555002,12
3,59,4,181386,1387,11
2,97,6,1218154494,22555980,17
1,66,4,1228406624,22747269,12
3,59,4,181456,1388,11
2,97,6,1228536766,22748244,17
1,66,4,1239707690,22956548,12
2,97,6,1239837994,22957526,17
3,59,4,181456,1388,11
1,66,4,1251115584,23167805,12
3,59,4,181526,1389,11
2,97,6,1251245888,23168783,17
1,66,4,1262338242,23375632,12
2,97,6,1262468546,23376610,17
3,59,4,181526,1389,11
3,59,4,181526,1389,11
1,66,4,1274198008,23595257,12
2,97,6,1274328258,23596234,17
1,66,4,1285680298,23807892,12
2,97,6,1285810590,23808870,17
3,59,4,181526,1389,11
3,59,4,181526,1389,11
1,66,4,1296980408,24017153,12
2,97,6,1297110630,24018130,17
1,66,4,1308788696,24235825,12
3,59,4,181526,1389,11
2,97,6,1308918810,24236800,17
1,66,4,1320662054,24455702,12
3,59,4,181596,1390,11
2,97,6,1320792292,24456679,17
1,66,4,1332432758,24673678,12
3,59,4,181596,1390,11
2,97,6,1332563050,24674656,17
1,66,4,1343154026,24872220,12
2,97,6,1343284318,24873198,17
3,59,4,181596,1390,11
3,59,4,181596,1390,11
1,66,4,1353077768,25055993,12
2,97,6,1353207952,25056969,17
3,59,4,181880,1393,11
1,66,4,1364260156,25263072,12
2,97,6,1364390448,25264050,17
1,66,4,1375368928,25468790,12
3,59,4,181880,1393,11
2,97,6,1375499274,25469769,17
1,66,4,1386777886,25680067,12
3,59,4,181880,1393,11
2,97,6,1386908178,25681045,17
1,66,4,1394948776,25831380,12
3,59,4,181880,1393,11
2,97,6,1395079026,25832357,17
1,66,4,1406255096,26040756,12
3,59,4,181950,1394,11
2,97,6,1406385346,26041733,17
3,59,4,181950,1394,11
1,66,4,1418283380,26263502,12
2,97,6,1418413684,26264480,17
1,66,4,1429904288,26478704,12
3,59,4,181950,1394,11
2,97,6,1430034484,26479680,17
1,66,4,1441533836,26694066,12
3,59,4,181950,1394,11
2,97,6,1441664140,26695044,17
3,59,4,181950,1394,11
2,97,6,1453161388,26907956,17
1,66,4,1453031084,26906978,12
1,66,4,1464348890,27116567,12
2,97,6,1464479140,27117544,17
3,59,4,181950,1394,11
1,66,4,1476179874,27335659,12
3,59,4,182020,1395,11
2,97,6,1476310124,27336636,17
1,66,4,1487732094,27549589,12
2,97,6,1487862398,27550567,17
3,59,4,182020,1395,11
1,66,4,1499853636,27774062,12
2,97,6,1499983886,27775039,17
3,59,4,182020,1395,11
3,59,4,182020,1395,11
1,66,4,1511895042,27997051,12
2,97,6,1512025346,27998029,17
1,66,4,1523352384,28209224,12
2,97,6,1523482634,28210201,17
3,59,4,182020,1395,11
1,66,4,1534659822,28418621,12
3,59,4,182020,1395,11
2,97,6,1534790126,28419599,17
1,66,4,1545783444,28624614,12
3,59,4,182020,1395,11
2,97,6,1545913694,28625591,17
1,66,4,1555676568,28807820,12
2,97,6,1555806818,28808797,17
3,59,4,182020,1395,11
1,66,4,1563806592,28958376,12
3,59,4,182020,1395,11
2,97,6,1563936680,28959350,17
1,66,4,1574059032,29148236,12
2,97,6,1574189282,29149213,17
3,59,4,182020,1395,11
1,66,4,1584798768,29347120,12
3,59,4,182020,1395,11
2,97,6,1584928964,29348096,17
1,66,4,1596185802,29557991,12
3,59,4,182020,1395,11
2,97,6,1596316106,29558969,17
3,59,4,182020,1395,11
1,66,4,1607450418,29766595,12
2,97,6,1607580560,29767570,17
1,66,4,1618937244,29979314,12
3,59,4,182020,1395,11
2,97,6,1619067494,29980291,17
1,66,4,1628930862,30164381,12
3,59,4,182020,1395,11
2,97,6,1629061058,30165357,17
1,66,4,1640665008,30381680,12
2,97,6,1640795150,30382655,17
3,59,4,182020,1395,11
1,66,4,1650440898,30562715,12
2,97,6,1650571040,30563690,17
3,59,4,182020,1395,11
1,66,4,1657638018,30695995,12
2,97,6,1657768214,30696971,17
3,59,4,182020,1395,11
2,97,6,1665792776,30845574,17
3,59,4,182020,1395,11
1,66,4,1665662580,30844598,12
2,97,6,1675164854,31019131,17
1,66,4,1675034604,31018154,12
3,59,4,182020,1395,11
1,66,4,1682361606,31153839,12
2,97,6,1682491976,31154818,17
3,59,4,182380,1401,11
1,66,4,1682361606,31153839,12
3,59,4,182380,1401,11
2,97,6,1682491976,31154818,17
1,66,4,1682361606,31153839,12
3,59,4,182380,1401,11
2,97,6,1682491976,31154818,17
1,66,4,1682361606,31153839,12
3,59,4,182380,1401,11
2,97,6,1682491976,31154818,17
